label,cage.number,cage.treatment,pheno.treatment,1.1,1.2,1.3,1.sum,2.1,2.2,2.3,2.sum,3.1,3.2,3.3,3.sum,4.1,4.2,4.3,4.sum,5.1,5.2,5.3,5.sum,6.1,6.2,6.3,6.sum,7.1,7.2,7.3,7.sum,8.1,8.2,8.3,8.sum,9.1,9.2,9.3,9.sum,10.1,10.2,10.3,10.sum,11.1,11.2,11.3,11.sum,12.1,12.1,12.3,12.sum,13.1,13.2,13.3,13.sum,14.1,14.2,14.3,14.sum,15.1,15.2,15.3,15.sum,16.1,16.2,16.3,16.sum,17.1,17.2,17.3,17.sum,18.1,18.2,18.3,18.sum,19.1,19.2,19.3,19.sum,20.1,20.2,20.3,20.sum
E2-N,E2,F,N,5,7,3,15,5,8,4,17,6,7,4,17,6,9,4,19,1,4,2,7,1,4,2,7,2,4,3,9,3,6,5,14,5,9,4,18,3,8,4,15,3,8,4,15,3,6,5,14,1,5,2,8,2,7,4,13,2,5,3,10,1,3,2,6,2,5,3,10,1,7,3,11,3,6,4,13,3,8,4,15
E2-F,E2,F,F,2,6,3,11,2,7,2,11,2,6,3,11,2,6,3,11,2,6,3,11,2,5,3,10,2,4,2,8,1,6,3,10,1,3,2,6,4,6,3,13,2,6,4,12,2,4,2,8,1,4,3,8,1,6,3,10,2,7,2,11,1,4,2,7,1,3,2,6,2,5,3,10,1,1,2,4,1,3,2,6
E2-I,E2,F,I,2,7,3,12,2,6,4,12,2,8,5,15,3,6,3,12,2,9,5,16,2,8,4,14,2,4,2,8,2,5,2,9,2,7,4,13,1,6,2,9,1,7,2,10,2,6,3,11,3,7,2,12,2,5,3,10,1,3,2,6,3,6,2,11,2,7,2,11,2,4,2,8,1,2,1,4,2,5,3,10
E2-S,E2,F,S,1,6,2,9,1,4,3,8,2,4,4,10,1,2,1,4,2,4,2,8,4,6,4,14,1,4,3,8,2,6,4,12,2,4,2,8,2,5,4,11,1,4,3,8,3,6,4,13,3,6,3,12,3,6,4,13,2,5,2,9,3,5,4,12,1,5,2,8,2,3,2,7,2,5,2,9,4,6,3,13
E4-N,E4,F,N,2,4,3,9,2,6,3,11,2,4,4,10,4,8,4,16,2,6,4,12,3,6,3,12,4,7,3,14,2,6,3,11,2,4,2,8,3,5,3,11,2,8,3,13,2,7,5,14,2,4,2,8,4,7,3,14,4,6,2,12,2,7,2,11,1,3,2,6,2,3,3,8,2,4,3,9,3,4,2,9
E4-F,E4,F,F,3,6,3,12,2,6,3,11,3,6,2,11,1,4,2,7,3,5,2,10,4,6,2,12,1,7,4,12,1,3,3,7,1,6,3,10,2,6,4,12,1,5,2,8,2,5,3,10,5,7,4,16,4,8,4,16,2,4,3,9,6,8,5,19,1,1,1,3,2,5,2,9,2,5,3,10,1,4,3,8
E4-I,E4,F,I,1,4,3,8,1,4,3,8,2,4,3,9,3,7,5,15,5,9,4,18,1,7,3,11,6,9,5,20,2,4,3,9,6,9,5,20,3,5,3,11,4,5,3,12,3,8,3,14,1,4,3,8,4,9,4,17,1,4,3,8,2,4,3,9,2,6,3,11,1,4,4,9,2,9,3,14,2,4,2,8
E4-S,E4,F,S,3,7,2,12,2,4,3,9,2,6,4,12,2,7,3,12,3,8,3,14,4,9,4,17,2,8,2,12,1,8,1,10,2,6,2,10,1,6,4,11,3,9,3,15,1,7,2,10,2,5,3,10,1,5,3,9,1,5,2,8,1,4,2,7,2,5,3,10,1,5,3,9,3,4,2,9,2,5,4,11
E5-N,E5,F,N,3,5,3,11,2,4,2,8,3,7,2,12,1,3,1,5,2,3,2,7,2,7,4,13,2,4,2,8,3,6,3,12,2,5,2,9,1,7,4,12,1,4,3,8,3,6,3,12,1,5,2,8,3,7,2,12,5,9,4,18,1,2,1,4,1,6,2,9,4,9,1,14,1,6,3,10,2,4,3,9
E5-F,E5,F,F,1,5,1,7,2,6,2,10,2,5,2,9,2,4,1,7,1,4,2,7,2,8,4,14,2,5,2,9,2,7,2,11,1,5,3,9,1,3,2,6,2,8,5,15,2,3,1,6,2,6,2,10,2,4,2,8,5,9,4,18,2,3,2,7,1,3,2,6,2,7,3,12,1,5,3,9,2,6,2,10
