label,cage.number,cage.treatment,pheno.treatment,replicate,236,240,244,260,264,268,284,288,292,308,312,316,332,336,340,356,364,380,388,404,412,428
PA1-N-1,PA1,L,N,1,0,0,0,0,0,0,0,0,0,0,2,4,12,8,3,4,2,2,3,2,0,0
PA1-N-2,PA1,L,N,2,0,0,0,0,0,0,0,0,0,1,5,4,15,7,6,8,2,0,2,1,0,0
PA1-F-1,PA1,L,F,1,0,0,0,0,0,0,0,0,0,1,12,4,13,2,2,5,0,0,0,0,0,0
PA1-F-2,PA1,L,F,2,0,0,0,0,0,0,0,0,0,3,8,9,15,11,2,5,2,3,1,0,0,0
PA1-I-1,PA1,L,I,1,0,0,0,0,0,0,1,1,2,5,8,12,15,3,2,1,0,0,0,0,0,0
PA1-I-2,PA1,L,I,2,0,0,0,0,0,0,5,1,1,8,8,5,6,1,0,0,0,1,0,0,0,0
PA1-S-1,PA1,L,S,1,0,0,0,0,0,0,2,0,2,4,12,10,16,4,5,9,0,0,1,1,1,0
PA1-S-2,PA1,L,S,2,0,0,0,0,0,0,0,1,1,8,10,9,13,6,4,2,3,0,1,0,0,0
PA2-N-1,PA2,L,N,1,0,0,0,0,0,0,0,0,0,1,3,1,4,0,2,4,7,3,6,5,1,0
PA2-N-2,PA2,L,N,2,0,0,0,0,0,0,0,0,0,2,1,0,6,4,4,7,6,5,1,1,1,0
PA2-F-1,PA2,L,F,1,0,0,0,0,0,0,1,3,1,7,4,2,11,7,4,1,3,1,0,0,0,0
PA2-F-2,PA2,L,F,2,0,0,0,0,0,0,0,0,2,4,6,8,14,10,6,7,4,5,1,1,0,0
PA2-I-1,PA2,L,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,7,1,0,0,0,0
PA2-I-2,PA2,L,I,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,13,5,1,0,0,0,0
PA2-S-1,PA2,L,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,2,1,1,1,0,0
PA2-S-2,PA2,L,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,1,1,0,2,0,0
PA3-N-1,PA3,L,N,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5,12,3,2,0,0,0,0
PA3-N-2,PA3,L,N,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,7,9,2,1,0,1,0
PA3-F-1,PA3,L,F,1,0,0,0,0,0,0,0,0,0,0,1,3,7,18,6,6,3,2,0,0,0,0
PA3-F-2,PA3,L,F,2,0,0,0,0,0,0,0,0,0,1,2,0,16,17,6,7,4,2,0,0,0,0
PA3-I-1,PA3,L,I,1,0,0,0,0,0,0,0,1,1,9,8,6,10,2,0,1,0,0,1,0,1,0
PA3-I-2,PA3,L,I,2,0,0,0,0,0,0,0,0,2,8,22,6,9,3,0,1,2,0,1,0,0,0
PA3-S-1,PA3,L,S,1,0,0,0,0,0,0,0,0,0,1,5,4,8,4,6,3,2,2,2,1,1,0
PA3-S-2,PA3,L,S,2,0,0,0,0,0,0,0,0,0,6,10,12,18,7,5,1,1,1,2,1,0,0
PA5-N-1,PA5,L,N,1,0,0,0,0,0,0,1,0,0,0,0,2,7,5,8,16,10,8,4,3,1,0
PA5-N-2,PA5,L,N,2,0,0,0,0,0,0,0,0,0,0,1,1,6,6,3,16,12,5,3,2,0,0
PA5-F-1,PA5,L,F,1,0,0,0,0,0,0,0,0,0,1,5,2,18,14,2,10,1,1,2,0,0,0
PA5-F-2,PA5,L,F,2,0,0,0,0,0,0,0,0,0,1,2,4,19,9,3,3,1,0,1,0,1,0
