label,cage.number,cage.treatment ,pheno.treatment ,replicate,count ,12,16,20,24,40,44,48,64,68,72,88,92,96,112,116,120,136,140,144,160,164,168
PA1-N-S1,PA1,L,N,1,10,0,0,0,0,0,0,0,0,0,0,3,4,4,8,9,10,10,10,10,10,10,10
PA1-N-S2,PA1,L,N,2,10,0,1,1,1,1,1,1,1,2,2,2,2,4,7,8,8,8,8,8,9,10,10
PA1-N-S3,PA1,L,N,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,8,8,8,9,10,10
PA1-F-S1,PA1,L,F,1,10,0,0,0,0,1,1,2,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10
PA1-F-S2,PA1,L,F,2,10,0,0,0,0,0,2,3,4,5,6,10,10,10,10,10,10,10,10,10,10,10,10
PA1-F-S3,PA1,L,F,3,10,0,0,0,0,1,2,2,5,7,7,8,8,8,10,10,10,10,10,10,10,10,10
PA1-I-S1,PA1,L,I,1,10,0,0,0,0,0,0,1,6,7,7,9,10,10,10,10,10,10,10,10,10,10,10
PA1-I-S2,PA1,L,I,2,10,0,0,0,0,0,2,3,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10
PA1-I-S3,PA1,L,I,3,10,0,0,0,0,0,0,1,3,4,6,9,9,10,10,10,10,10,10,10,10,10,10
PA1-S-S1,PA1,L,S,1,10,0,0,0,0,2,2,2,5,5,6,8,8,9,10,10,10,10,10,10,10,10,10
PA1-S-S2,PA1,L,S,2,10,0,0,0,0,1,2,2,5,5,5,7,7,9,9,10,10,10,10,10,10,10,10
PA1-S-S3,PA1,L,S,3,10,0,0,0,0,1,2,3,6,6,8,9,10,10,10,10,10,10,10,10,10,10,10
PA2-N-S1,PA2,L,N,1,10,0,0,0,0,0,0,0,0,0,0,2,4,5,7,8,8,10,10,10,10,10,10
PA2-N-S2,PA2,L,N,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,8,8,8,10,10,10
PA2-N-S3,PA2,L,N,3,10,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,7,9,9,9,10,10,10
PA2-F-S1,PA2,L,F,1,10,0,0,0,0,2,4,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10
PA2-F-S2,PA2,L,F,2,10,0,0,0,0,4,5,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
PA2-F-S3,PA2,L,F,3,10,0,0,0,1,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PA2-I-S1,PA2,L,I,1,10,0,0,1,1,6,6,8,9,10,0,10,10,10,10,10,10,10,10,10,10,10,10
PA2-I-S2,PA2,L,I,2,10,0,0,0,0,2,4,4,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
PA2-I-S3,PA2,L,I,3,10,0,0,0,0,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PA2-S-S1,PA2,L,S,1,10,0,0,0,0,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PA2-S-S2,PA2,L,S,2,10,0,0,1,2,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PA2-S-S3,PA2,L,S,3,10,0,0,0,0,6,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PA3-N-S1,PA3,L,N,1,10,0,0,0,0,0,0,0,0,2,3,6,6,6,8,8,9,10,10,10,10,10,10
PA3-N-S2,PA3,L,N,2,10,0,0,0,0,0,1,1,4,4,6,10,10,10,10,10,10,10,10,10,10,10,10
PA3-N-S3,PA3,L,N,3,10,0,0,0,0,0,0,0,1,2,5,7,7,7,9,9,9,10,10,10,10,10,10
PA3-F-S1,PA3,L,F,1,10,0,0,0,0,4,4,5,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10
PA3-F-S2,PA3,L,F,2,10,0,0,0,1,3,3,4,5,6,7,9,9,10,10,10,10,10,10,10,10,10,10
PA3-F-S3,PA3,L,F,3,10,0,0,0,0,3,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10
PA3-I-S1,PA3,L,I,1,10,0,0,0,0,1,1,2,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10
PA3-I-S2,PA3,L,I,2,10,0,0,0,0,3,4,4,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10
PA3-I-S3,PA3,L,I,3,10,0,0,0,0,2,3,4,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10
PA3-S-S1,PA3,L,S,1,10,0,0,0,0,2,2,2,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10
PA3-S-S2,PA3,L,S,2,10,0,0,0,0,0,0,2,7,7,7,9,9,9,9,9,9,10,10,10,10,10,10
PA3-S-S3,PA3,L,S,3,10,0,0,0,0,1,1,3,6,7,7,10,10,10,10,10,10,10,10,10,10,10,10
PA5-N-S1,PA5,L,N,1,10,0,0,0,0,0,0,0,0,0,0,3,3,4,7,7,9,10,10,10,10,10,10
PA5-N-S2,PA5,L,N,2,10,0,0,0,0,0,0,0,0,1,1,4,5,5,6,7,9,10,10,10,10,10,10
PA5-N-S3,PA5,L,N,3,10,0,0,0,0,0,1,1,1,1,1,2,2,3,6,7,7,10,10,10,10,10,10
PA5-F-S1,PA5,L,F,1,10,0,0,0,0,0,0,0,5,6,7,9,9,9,10,10,10,10,10,10,10,10,10
PA5-F-S2,PA5,L,F,2,10,0,0,0,0,1,1,2,6,6,7,10,10,10,10,10,10,10,10,10,10,10,10
